corsid,state,site_name,site_code,coordinates_of_sites_dms_lat,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height
50483A001,Kerla,KOCHI,KOCH,9 57 4.72501,76 14 33.13349,-88.3756
50484A001,Tamilnadu,KODAIKANAL,KODA,10 14 14.8765203601763,77 29 42.3382043031669,1993.52616
50485A001,Odisha,KOIRA,KIRA,21 54 25.58500712,85 15 19.87945573,528.94285
50486A001,Karnataka,KOLAR,KLAR,13 8 10.57434,78 10 49.93543,739.5037
50487A001,West Bengal,KOLKATA,KOLK,22 31 54.3929945521493,88 20 1.96247838540826,-48.79004
50488A001,Kerla,KOLLAM,KLAM,8 56 20.6768237340338,76 32 27.5870970896919,-89.48307
50489A001,Tamilnadu,KOLLIHILLS,KOLI,11 16 39.9835699791507,78 20 3.86981840936455,1035.97851
50490A001,Arunanchal Pradesh,KOLORIANG,KOLO,27 54 18.475280054,93 20 40.830990755,954.046533
50491A001,Uttar pradesh,KONCH,KONC,25 59 39.4553006357825,79 8 45.068263276776,106.5663
50492A001,Chhattisgarh,KONDAGAON,KOND,19 36 16.0642425060542,81 40 28.6399226044721,529.91922
50493A001,Maharashtra,KORCHI,KCHI,20 43 22.15538,80 28 58.69332,311.0775
50494A001,Madhya Pradesh,KOTAR,KOTA,24 42 14.53188349413,81 0 13.7811510519012,241.53209
50495A001,Tamilnadu,KOVILPATTI,KVIL,9 10 27.3601711254915,77 52 28.8339930021734,21.59409
50496A001,Kerla,KOZHANCHERY,KERY,9 19 50.8937097158382,76 42 35.64463856156,-83.04096
50497A001,Karnataka,KR PETE,KPTE,12 42 2.70715,76 31 41.4401,748.1735
50498A001,Tamilnadu,KRISHNAGIRI,KRIN,12 33 6.21716857861666,78 11 51.5022029530421,436.9546
50499A001,West Bengal,KRISHNANAGAR,KRIS,23 25 0.461530045825683,88 29 8.03063478143177,-42.42088
50500A001,Tamilnadu,KUDAVASAL,KUDV,10 51 28.478287111339,79 29 0.89189253293431,-64.52263
50501A001,Kerla,KULATHUPZHA,KZHA,8 55 12.1228520386208,77 3 47.0129373022909,51.77198
50502A001,Uttarakhand,KULHAL,KULH,30 25 50.199659428988,77 37 35.9133162023525,351.7712
50503A001,Himachal Pradesh,KULLU,KULL,31 53 40.1513721632555,77 8 19.0952613807421,1083.64238
50504A001,West Bengal,KUMIRMARI,KUMI,22 11 32.9295984212206,88 56 11.0172941440956,-51.24938
50506A001,Odisha,KUNDURA,KUNA,18 55 34.67877867,82 22 57.22194278,512.51257
50507A001,Karnataka,KUNIGAL,KNGL,13 1 26.79538,77 1 58.52549,696.6931
50508A001,Kerla,KUNJATTURU,KUNJ,12 45 11.9458995,74 52 31.85295065,-49.63789
50509A001,Chhattisgarh,KUNKURI,KUNK,22 45 8.18003683469495,83 57 44.0716371294189,428.94354
50510A001,Jammu & Kashmir,KUPWARA,KURA,34 30 53.4369773670181,74 15 24.5886598330313,1581.55527
50511A001,Odisha,KURUDA,KUDA,21 28 15.07402018,86 53 10.56335795,-38.57708
50512A001,Madhya Pradesh,KUSMI,KUSM,23 58 39.483163,81 59 6.345568777,319.129841
50513A001,Karnataka,KUSTAGI,KSGI,15 45 43.92675,76 11 19.75247,556.3049
50514A001,Odisha,KUTRAGARH,KURH,19 36 47.37668531,83 33 0.700853771,213.66223
50515A001,Tamilnadu,KUZITHURAI,KZTH,8 19 6.26039931670677,77 12 22.4837886701451,-63.60078
50516A001, Sikkim,LACHUNG,LACH,27 41 33.458147349928,88 44 40.4763109285858,2638.80511
50517A001,Rajasthan,LADNU,LADN,27 38 28.503835,74 24 26.00862,283.9189
50518A001,Chhattisgarh,LAILUNGA,LAIL,22 22 37.9844026005066,83 34 52.0714922711651,425.123427
50519A001,Madhya Pradesh,LAKHADON,LKDN,22 36 4.629440456,79 36 38.92828722,555.3637
50520A001,Uttar pradesh,LAKHIMPUR,LAKH,27 58 10.3882381057825,80 48 32.226739616776,75.167
50521A001,Uttar pradesh,LALGANJMIRZAPUR,LALG,25 0 31.3785223173371,82 21 52.6027173828019,78.80741
50522A001,Uttar pradesh,LALGANJPRATAPGARH,LALP,25 56 2.6962229957825,81 42 29.351990526776,41.1265
50523A001,West Bengal,LALGOLA,LALG,24 26 5.77844097114271,88 11 54.2242864346455,-33.12895
50524A001,Uttar pradesh,LALITPUR,LALI,24 42 2.3637587467825,78 24 26.404504856776,300.7239
50525A001,Mizoram,LALLEN,LALL,23 37 13.963225717,92 27 43.809380824,719.77891
50526A001,Gujarat,LALPUR,LALP,22 12 43.8964711792101,69 58 14.9256982704324,16.51927
50527A001,Gujarat,LATHI,LTHI,21 42 55.2117220982104,71 22 59.6754166171665,64.44035
50528A001,Maharashtra,LATUR,LATU,18 23 58.61075,76 33 46.56735,565.4674
50529A001,Karnataka,LAXMESHWAR,LXWR,15 7 6.24099,75 28 25.11036,558.2718
50530A001,Ladakh,LEH,LEH1,34 9 3.905603223,77 33 46.21437369,3352.96219
50531A001,Arunanchal Pradesh,LIKABALI,LIKA,27 39 45.39410011,94 41 29.875197266,102.684249
50532A001,Andaman & Nicobar Islands,LONG ISLAND,LOIS,12 21 52.4946430708672,92 55 24.9590789303254,-53.43897
50533A001,Arunanchal Pradesh,LONGDING,LONG,26 53 22.71502552,95 19 9.372227556,850.904124
50534A001,Chhattisgarh,LORMI,LORM,22 16 19.3623067448567,81 41 13.0961314178867,256.2952
50535A001,Uttar pradesh,LUCKNOW,LUCK,26 51 37.3992381457825,81 0 42.880464936776,52.083
50536A001,Punjab,LUDHIANA,LUDH,30 54 26.6515789487393,75 50 39.3144517686689,201.4807691
50537A001,Assam,LUMDING,LUMD,25 46 1.678938498,93 9 55.444729607,79.679728
50538A001,Telangana,MACHAREDDY,MACH,18 20 7.64910448374284,78 30 32.8038549720274,414.15982
50539A001,Manipur,MACHI,MCHI,24 31 3.214971422,94 8 41.238960245,1356.406875
50541A001,Karnataka,MADDUR,MDUR,12 34 13.1499,76 59 33.18894,578.9426
50542A001,Gujarat,MADHAVPUR,MADV,21 15 9.69881500733603,69 59 17.6341402942517,-46.65849
50543A001,Bihar,MADHEPURA,MDHE,25 55 58.3488257480046,86 47 47.8317220137243,-13.542406
50544A001,Uttar pradesh,MADHUBANI,MADH,25 48 19.02248,84 28 46.186577,-5.515739163
50545A001,Karnataka,MADHUGIRI,MDGR,13 39 42.21259,77 12 56.78142,662.2375
50546A001,Chhattisgarh,MAGARLOD,MAGA,20 44 38.22049,81 51 0.23188,256.62567
50547A001,Telangana,MAHADEVPUR,MHPR,18 43 48.9714143829175,79 58 49.5244896357613,53.29117
50548A001,Maharashtra,MAHAGAON,MAGN,19 47 12.64739,77 46 19.24849,219.7107
50549A001,Odisha,MAHAKALPADA,MAHA,20 25 21.5982424972525,86 35 48.0151726546833,-56.68874
50550A001,Maharashtra,MAHALGAON,MGAN,20 40 28.88537,79 13 53.73695,193.3301
50551A001,Uttar pradesh,MAHARAJGANJ,MAHA,27 8 30.505083156747,83 32 16.6412669957837,26.194277
50552A001,Chhattisgarh,MAHASAMUND,MHND,21 6 24.48119,82 5 39.05252,232.96202
50553A001, Haryana,MAHENDRAGARH,MAHE,28 15 29.5953581,76 8 21.63052919,223.4505
50554A001,Madhya Pradesh,MAHESHWAR,MSWR,22 11 0.818258,75 35 29.796044,104.8675
50555A001,Uttar pradesh,MAHOBA,MAHO,25 17 5.7740218847825,79 51 21.359426196776,169.7381
50556A001,Jammu & Kashmir,MAHORE,MARE,33 18 19.3827193704749,74 52 9.35427358513858,1682.5449
50557A001,Gujarat,MAHUVA,MAHU,21 6 8.18627975741004,71 47 12.7343375223135,-45.43483
50558A001,Rajasthan,MAHWA,MAHW,27 1 55.3041424289003,76 55 7.10828522962563,181.3368834
50559A001,Assam,MAIBANG,MAIB,25 18 2.772158485,93 7 58.103540165,352.944255
50560A001,Chhattisgarh,MAINPUR,MAIN,20 17 21.7495522744164,82 14 7.16832665746698,414.93862
50561A001,West Bengal,MALBAZAR,MALB,26 51 28.2839713999392,88 44 25.2450872880962,95.22603
50562A001,West Bengal,MALDA,MALD,24 59 4.92396122203148,88 8 20.0570719617455,-30.00978
50563A001,Maharashtra,MALEGAON,MALE,20 34 6.46584,74 30 38.2881,376.2963
50564A001,Odisha,MALKANGIRI,MALK,18 21 48.4392332488622,81 53 25.1942173295031,116.43658
50565A001,Maharashtra,MALWAN,MLWN,16 2 41.95655,73 29 26.32109,-21.686
50566A001,Tamilnadu,MANAMELGUDI,MNME,10 2 18.4487687408639,79 13 57.3398853351742,-77.56798
50567A001,Madhya Pradesh,MANASA,MANA,24 28 29.6675954419299,75 8 21.8995477228001,406.55167
50568A001,Madhya Pradesh,MANAWAR,MNWR,22 12 25.0938169864005,75 6 21.9926093676228,130.11538
50569A001,West Bengal,MANBAZAR,MANB,23 3 21.3819663600915,86 39 18.5633488152123,111.87917
50570A001,Telangana,MANCHERIAL,MNCH,18 52 58.5357985603257,79 26 49.9929490477533,78.24314
50571A001,Gujarat,MANDAL,MAND,23 17 32.0846597,71 54 7.744451218,-22.17846
50572A001,Rajasthan,MANDAL,MAND,25 26 26.5388447823977,74 34 34.4333714936799,382.9306
50573A001, Sikkim,MANGAN,MANG,27 29 23.0021974039127,88 31 55.4584290444315,1231.66319
50574A001,Maharashtra,MANGAON,MAON,18 13 43.71116,73 17 2.69982,-60.082
50575A001,Nagaland,MANGKOLEMBA,MNKO,26 30 14.481036008,94 26 17.874191484,505.964993
50576A001,Rajasthan,MANGLIVAWAS,MANG,26 16 28.566076,74 30 7.447387,389.8688
50577A001,Arunanchal Pradesh,MANMAO,MANM,27 14 44.745084306,95 55 1.266728491,476.617761
50578A001,Kerla,MANNAKUDDY,MDDY,9 47 45.618734572207,77 9 28.0918820249273,966.72252
50579A001,Jharkhand,MANOHARPUR SIG W,MSIG,22 22 26.3092929431401,85 12 27.3284402405537,171.18884
50580A001,Maharashtra,MANORA,MNRA,20 13 2.84535,77 33 41.78676,298.067
50581A001,Punjab,MANSA,MANS,29 55 50.92960401,75 33 12.76087915,176.3188
50582A001,Tripura,MANUBAZAR,MANU,23 5 10.153168139,91 38 27.692580086,-21.559669
50583A001,Assam,MARGHERITA,MARG,27 17 16.362605835,95 39 40.27023234,91.885981
50584A001,Arunanchal Pradesh,MARIYANG,MARI,28 29 28.840170974,95 12 42.540738595,1064.980657
50585A001,Bihar,MASHRAKH,MASH,26 5 8.87778106707939,84 47 59.4855865287415,-6.736447
50586A001,Gujarat,MASKA,MSKA,22 50 15.469765781596,69 22 16.4290640015183,-42.71316
50587A001,Uttar pradesh,MATHURA,MATH,27 28 17.36889943,77 41 38.13108837,122.2497
50588A001,Uttar pradesh,MAURANIPUR,MAUR,25 15 18.2936021457825,79 8 38.677845526776,146.4604
50589A001,Andaman & Nicobar Islands,MAYABUNDAR,MAYA,12 54 38.569956,92 54 1.24518614,-31.05566
50590A001,Arunanchal Pradesh,MEBO,MEBO,28 10 4.31235358,95 25 16.446621612,380.692606
50591A001,Maharashtra,MEDHA,MEDH,17 47 37.64791,73 49 38.29522,636.7143
50592A001,Telangana,MEDIPALLI,MEDI,18 48 43.3082599485798,78 48 26.7700474771836,241.3355
50593A001,Gujarat,MEHSANA,MEHS,23 35 1.45379197318659,72 24 47.5012318461668,36.11309
50594A001,Tripura,MELAGHAR,MELA,23 30 30.030117786,91 19 47.853221576,-26.782896
50595A001,Kerla,MELUKAVUMATTA,MTTA,9 47 46.738121518421,76 45 17.9234379032974,71.36122
50596A001,Arunanchal Pradesh,MIAO,MIAO,27 29 10.056119061,96 12 17.266991211,221.620373
50597A001,Arunanchal Pradesh,MIGGING,MIGG,28 51 4.973446906,94 47 23.995571595,1007.472474
50598A001,Uttar pradesh,MILKIPUR,MILK,26 36 33.2601074557825,81 55 55.970211826776,39.7853
50599A001,Nagaland,MIMI,MIMI,25 42 21.908047675,94 54 12.427409515,1526.51336
50600A001, Lakshdweep,MINICOY,MINI,8 16 58.4848415118711,73 3 23.4380956311307,-80.68039
50601A001,Punjab,MOGA,MOGA,30 50 35.0812797331998,75 10 42.217847146466,177.3987153
50602A001,West Bengal,MOGRARA,MOGR,22 57 57.8957305526892,88 22 13.0616007943688,-48.62571
50603A001,Uttar pradesh,MOHAMMADI,MHMD,27 56 55.1063918457825,80 12 37.599479046776,102.5334
50604A001,Madhya Pradesh,MOHANA,MOHN,25 54 10.3402433972086,77 46 36.6686340467642,262.21894
50605A001,Madhya Pradesh,MOHANGARH,MHGR,24 59 5.63006640036535,78 40 39.4278922239919,255.36788
50606A001,Maharashtra,MOHOL,MOHL,17 48 34.61855,75 38 8.75701,393.6195
50607A001,Rajasthan,MOKALSAR,MOKA,29 0 49.3103,73 50 54.9018,163.2733738
50608A001,Bihar,MOKAMA,MOKM,25 23 19.5739919359623,85 54 11.8705126587204,-15.956203
50609A001,Uttarakhand,MORI,MORI,31 1 20.3819322257825,78 2 41.292678626776,1118.2694
50610A001,Assam,MORIGAON,MORG,26 14 50.446429969,92 20 22.267790694,9.783218
50611A001,Karnataka,MUDDEBHIL,MBIL,16 20 10.75107,76 7 42.45738,507.1911
50612A001,Karnataka,MUDIGERE,MGRE,13 8 15.79774,75 38 30.58758,887.6637
50613A001,Maharashtra,MULC,MULC,19 40 49.71605,80 0 26.02471,103.1653
50614A001,Maharashtra,MULS,MULS,20 3 30.26002,79 39 38.09488,134.466
50615A001,Madhya Pradesh,MUNGAOLI,MUNG,24 24 7.46852480891892,78 6 32.6149273823254,351.724822
50616A001,Bihar,MUNGER,MNGE,25 22 8.46016220071056,86 28 49.420910279853,-13.910756
50617A001,Kerla,MUNNAR,MUAR,10 5 21.7585,77 3 41.48619,1404.4886
50618A001,Uttarakhand,MUNSIYARI,MUNS,30 3 44.8366535457825,80 14 26.748297316776,2228.8172
50619A001,Kerla,MUTHANGA,MUGA,11 39 50.9614507157217,76 20 30.8293998787887,762.62253
50620A001,Tamilnadu,MUTHANGA,,11 39 50.9611500320198,76 20 30.8296761281865,762.64311
50621A001,Bihar,MUZAFFARPUR,MUZA,26 8 41.648631848885,85 21 58.3833108589992,-9.148655
50622A001,Rajasthan,MYAJLAR,MYAJ,26 15 22.40868986,70 22 55.17135492,71.5952
50623A001,Odisha,NABARANGPUR,NABA,19 15 19.2278317,82 32 37.62423572,523.98484
50624A001,Punjab,NABHA,NABH,30 21 51.0548797739628,76 7 59.0593056963954,202.2029331
50625A001,Rajasthan,NACHNA,NACH,27 30 16.346808,71 43 52.216986,102.4407
50626A001,Gujarat,NADIAD,NADI,22 42 17.1377147503513,72 50 4.32659822249341,-19.83716
50627A001,Rajasthan,NADOL,NADO,25 22 13.9593028611407,73 27 9.75882009239088,267.756
50628A001,Tamilnadu,NAGAPATNAM,NAGA,10 47 59.7712511833576,79 50 19.0965283049049,-72.73447
50629A001,Telangana,NAGARKURNOOL,NGRK,16 28 32.2257144279973,78 20 2.46230425733797,370.29491
50630A001,Madhya Pradesh,NAGDA,NAGD,23 27 10.5877615826278,75 25 13.8412354889536,420.90748
50631A001,Himachal Pradesh,NAHAN,NAHA,30 32 33.4093723378208,77 17 23.3586720335794,559.95239
50632A001,Madhya Pradesh,NAINPUR,NAIN,22 26 0.888052723,80 6 25.65144178,381.46649
50633A001,Uttar pradesh,NAJIBABAD,NJBD,29 36 29.6638635165036,78 20 22.2894004714219,219.7937
50634A001,Gujarat,NALIYA,NIYA,23 15 19.489896027014,68 50 21.3984864025544,-24.47678
50635A001,Arunanchal Pradesh,NAMDONG,NAMD,25 39 21.704669589,92 18 56.180649617,963.578489
50636A001,Arunanchal Pradesh,NAMSAI,NAMS,27 40 1.491242548,95 52 6.286179941,95.826291
50637A001,Maharashtra,NANDAGAON KHANDE,NANK,20 40 52.17784,77 49 46.55129,233.0972
50638A001,Odisha,NANDAPUR,NAND,18 33 41.4169047649933,82 44 12.0492912973935,830.68933
50639A001,Maharashtra,NANNDESWAR TAL,NTAL,17 21 56.70381,75 22 5.38376,469.4482
50640A001,Uttar pradesh,NANPARA,NANP,27 51 1.1985533107825,81 30 45.525770006776,81.0039
50641A001,Gujarat,NARALI,NARL,23 6 50.5684139044942,71 25 7.23501073050243,-34.87467
50642A001, Haryana,NARAYANGARH,NARA,30 28 58.87176384,77 7 42.4952483,282.8758
50643A001,Telangana,NARAYANPET,NRYP,16 44 23.3760449897868,77 30 21.0056106221001,376.63535
50644A001,Rajasthan,NARAYANPUR,,27 31 36.2404838065013,76 19 38.3757333012344,333.8581793
50645A001,Chhattisgarh,NARAYANPURCG,NPCG,19 43 12.55566,81 14 44.73582,485.66293
50646A001,Telangana,NARKETPALLY,NARK,17 12 27.179877582356,79 11 18.1165834058212,204.00674
50647A001,Odisha,NARLA,NALA,20 2 53.1148107075301,83 21 47.815523801966,178.39581
50648A001,Madhya Pradesh,NARSINGHGARH,NARS,23 42 13.5537261461273,77 6 15.5841858295154,403.04476
50649A001,Maharashtra,NASHIK,NASK,20 1 52.91015,73 42 56.67036,528.7193
50650A001,Madhya Pradesh,NASRULLAGANJ,NSRG,22 41 1.84445214176455,77 16 16.1249546823846,241.44835
50651A001,Tamilnadu,NATHAM,NHAM,10 13 49.6911330354713,78 13 22.4143187808446,173.66896
50652A001,Tamilnadu,NATRAMPALLI,NLKT,12 35 43.6401964188385,78 30 58.0672885936648,349.43732
50653A001,Bihar,NAUGACHIA,NUGH,25 22 48.6054806609068,87 6 24.3984597857085,-20.447793
50654A001,Uttar pradesh,NAUGARH,NAUG,27 16 46.4800644457825,83 5 1.14167157077603,23.7918
50655A001,Maharashtra,NAVAPUR,NPUR,21 9 9.42631,73 48 21.66031,104.2381
50656A001,Bihar,NAWADA,NAWA,24 54 41.8081744048927,85 32 6.90056089724899,25.314219
50657A001,Rajasthan,NAWGOAN,NAWG,27 38 58.3167078181661,76 52 8.26744438677589,178.0542433
50658A001,West Bengal,NAXALBARI,NAXA,26 41 10.2767432295561,88 12 47.8508152180453,103.50128
50659A001,Odisha,NAYAGARH,NAYA,20 7 30.7715161280774,85 6 34.8944700010171,33.63697
50660A001,Rajasthan,NEEMKATHANA,NEEM,27 44 21.01927187,75 47 36.33362179,404.3170909
50661A001,Telangana,NEKKONDA,NEKK,17 47 59.6221867707746,79 48 23.0693961238025,154.10436
50662A001,Gujarat,NETRANG,NTNG,21 38 14.605394801879,73 21 50.6794313195535,69.13748
50663A001,Uttarakhand,NEWTEHRI,NTHR,30 22 41.8942434571114,78 26 15.1885398501852,1636.1854
50664A001,Telangana,NIDAMANOOR,NIDA,16 49 19.5096891780929,79 22 4.96050643524357,60.38014
50665A001,Uttar pradesh,NIGHASAN,NIGH,28 14 18.7237994457825,80 51 40.582071446776,84.0805
50666A001,Kerla,NILAKKA,NILA,9 23 15.8354508585893,77 0 57.9548521016503,273.53351
50667A001,Tamilnadu,NILAKOTTAI,NATR,10 10 0.0578209436137915,77 51 10.557987706391,136.96905
50668A001,Rajasthan,NIMA,NIMA,28 28 3.86476318464724,75 28 43.4687589309286,220.5093363
50669A001,Maharashtra,NIPHAD DEOGAON,NPGN,20 1 50.83285,74 15 37.80424,466.6896
50670A001,Rajasthan,NIWAI,NWAI,26 22 10.2376501624057,75 53 32.1720347331716,279.95529
50671A001,Madhya Pradesh,NIWALI,NIWA,21 40 37.399614,74 54 45.184821,405.9831
50672A001,Madhya Pradesh,NIWAS,NWAS,23 2 42.8651346188223,80 26 25.4797667543917,605.73299
50673A001,Telangana,NIZAMABAD,NIZM,18 41 38.5320323267503,78 2 42.6621889585548,327.18293
50674A001,Telangana,NIZAMSAGAR,NIZA,18 13 35.295034641372,77 55 56.8335219933743,332.43899
50675A001,Mizoram,NOGPA,NOGP,23 53 27.881897893,93 12 43.737639484,1195.858793
50676A001,Nagaland,NOKLAK,NOKL,26 11 24.652873447,95 0 52.890890485,1339.794856
50677A001,Arunanchal Pradesh,NONGPOH,NONP,25 54 57.426157698,91 52 36.119759192,492.643254
50678A001,Arunanchal Pradesh,NONGSTOIN,NONG,25 31 33.417842236,91 15 47.671261399,1292.920052
50679A001,Telangana,NOOTHANKAL,NOOT,17 19 52.7324428901403,79 41 47.1357682763019,104.75003
50680A001,Madhya Pradesh,NOWROZABAD,NOWR,23 21 55.7901794157073,80 59 35.6576938042513,392.78588
50681A001,Odisha,NUAGAON,NUAG,20 8 57.7738125719932,84 0 40.6916511754642,518.76064
50682A001,Odisha,NUAPADA,NUAP,20 47 1.10645109514052,82 32 23.6728631468467,291.57133
50683A001, Haryana,NUH,NUH_,28 6 42.25445476,77 1 39.24524286,141.6012
50684A001,Himachal Pradesh,NURPUR,NURP,32 17 33.39334,75 53 28.25815,514.293
50685A001,Tamilnadu,ODDANCHATHRAM,ODDA,10 28 57.427936299809,77 43 50.2032991240222,208.01556
50686A001,Rajasthan,OSIAN,OSIA,26 43 53.521676,72 54 3.237405,287.5737
50687A001,Odisha,PABRITANAGAR,PABR,21 8 7.73921869614466,85 9 57.0587157815513,37.83478
50688A001,Rajasthan,PACHALA,PCHL,25 57 25.1115653284607,76 13 18.2194004995077,223.4303
50689A001,Rajasthan,PACHPADRA,PACH,25 50 14.4357,72 15 20.637028,67.681
50690A001,Odisha,PADAMPUR,PDMP,21 0 2.30374830853347,83 3 43.3378520527166,148.91152
50691A001,Maharashtra,PAITHAN,PTHN,19 28 57.86951,75 23 26.7721,385.7324
50692A001,Chhattisgarh,PAKHANJUR,PKHN,20 2 21.3950762316321,80 37 37.0637852707162,263.96163
50693A001,Jharkhand,PAKUR SADAR,PAAR,24 38 21.5154743,87 49 33.36525798,-9.24816
50694A001,Maharashtra,PALAM,PLAM,19 0 32.18912,76 56 58.04611,313.4651
50695A001,Gujarat,PALANPUR,PALA,24 10 20.0884811313432,72 26 55.2778154647277,179.43723
50696A001,Tamilnadu,PALAYAMKOTTAI,PYKT,8 43 35.6814058362566,77 42 56.3968132103883,-52.21183
50697A001,Arunanchal Pradesh,PALIN,PALI,27 41 50.06917374,93 37 59.006817771,877.308421
50698A001,Tamilnadu,PALLIPATTU,PLPT,13 19 26.5491004155899,79 26 27.5328430286029,81.48558
50699A001,Kerla,PALLIPPURAM,PLLI,10 23 56.5657898433982,76 7 6.92786672382374,-84.79465
50700A001, Haryana,PALWAL,PALW,28 6 29.59324436,77 19 46.57404182,144.3002
50701A001,Telangana,PAMBI,PAMB,19 11 38.0257627806441,78 37 56.6923729157807,175.58223
50702A001,Rajasthan,PANCHORI,PANC,27 6 28.8358761155063,73 13 57.7092414420386,244.9533377
50703A001,Madhya Pradesh,PANDHANA,PAND,21 41 54.2781395768184,76 13 14.3211359032117,298.32917
50704A001,Ladakh,PANG,PANG,33 7 46.3431660877779,77 47 11.7654478492583,4496.24709
50705A001,Arunanchal Pradesh,PANGIN,PANG,28 12 58.87203305,94 59 43.932431954,432.02868
50706A001, Haryana,PANIPAT,PANI,29 24 15.68554225,76 58 6.4095436,186.292
50707A001,West Bengal,PANSKURA,PANS,22 23 58.3872207656468,87 44 33.0992378414526,-52.00017
50708A001,Kerla,PARAPPA,PAPP,12 35 57.4781681638229,75 16 54.1843993263561,40.85032
50709A001,Uttar pradesh,PARASPUR,PARA,27 2 7.3318386817825,81 47 12.685496606776,37.669
50710A001,Maharashtra,PARLI,PARL,18 58 20.59861,76 22 40.70626,376.2956
50711A001,Gujarat,PATAN,PTAN,23 51 23.0464285,72 8 5.576842289,34.21948
50712A001,Madhya Pradesh,PATERA,PATE,23 59 2.19069741384986,79 41 4.19576216061643,283.93648
50713A001,Bihar,PATNA,PATN,25 35 38.4924024517219,85 4 47.2231792884376,-8.228755
50714A001,Tamilnadu,PATTUKOTTAI,PTTK,10 25 4.89940162015348,79 19 54.7974342248385,-62.93542
50715A001,Karnataka,PAVGADA,PVDA,14 6 59.40809,77 16 50.29847,557.7273
50716A001,Chhattisgarh,PENDRAROAD,PEND,22 44 59.43669,81 54 36.49103,559.21283
50717A001,Tamilnadu,PENNAGARAM,PNGM,12 8 4.28599261967048,77 53 36.4318966091257,426.20163
50718A001,Telangana,PENTAVELLY,PNTV,16 4 12.4668244466187,78 15 21.3148314368906,201.70765
50719A001,Tamilnadu,PERAIYUR,PRRU,9 44 29.9869517508188,77 47 23.923952183948,83.2602
50720A001,Tamilnadu,PERAMBALUR,PBLU,11 13 27.0845067773969,78 52 30.3868468850808,45.02983
50721A001,Rajasthan,PHALODI,PHLD,27 7 23.2595509537608,72 22 31.575540329557,192.0903094
50722A001,Rajasthan,PHALUSUND,PHAL,26 24 14.630522,71 55 28.71266,164.142
50723A001,Uttar pradesh,PHEENA,PHNA,29 4 41.5641712315314,78 20 58.5595255447769,169.5661
